Nom;Prénom;Âge;Taille;Poids;Nationalité;Poste;Club;Contrat;Statut JIFF
ELSTADT;Rynhardt;30;198;120;Afrique du sud;3ème ligne;Toulouse;Pro;NON JIFF
DA SILVA;Lucas;22;188;115;France;Talonneur;Paris;Espoir;JIFF
HERVÉ;Enzo;21;177;89;France;Ouverture;Brive;Espoir;JIFF
VINCENT;Arthur;20;183;90;France;Centre;Montpellier;Espoir;JIFF
LOUW;Wilco;25;185;133;Afrique du sud;Pilier;Toulon;Pro;NON JIFF
CORRÉA;Fernandez;22;181;100;Sénégal;Pilier;Agen;Espoir;JIFF
NUENO;Pierre;23;184;90;France;Centre;Pau;Pro;JIFF Formé
TAGITAGIVALU;Lekima;24;193;109;Fidji;3ème ligne;Pau;Pro;JIFF Formé
HEEM;Bryce;31;193;105;Nouvelle-Zélande;Ailier;Toulon;Pro;NON JIFF
PHILLIPS;Pierce;27;203;119;Angleterre;2ème ligne;Agen;Pro;NON JIFF
BIRD;Dominic;28;206;115;Nouvelle-Zélande;2ème ligne;Racing 92;Pro;NON JIFF
TAULAGI;JJ;26;180;90;Samoa;Arrière;Agen;Pro;NON JIFF
WHITELOCK;Luke;29;190;116;Nouvelle-Zélande;3ème ligne;Pau;Pro;NON JIFF
BAMBA;Demba;21;185;124;France;Pilier;Lyon;Espoir;JIFF
CHAUVAC;Simon-Pierre;21;189;116;France;Pilier;Brive;Espoir;JIFF
SCHREUDER;Louis;29;184;82;Afrique du sud;Mêlée;Toulon;Pro;NON JIFF
AHKI;Pita;27;189;97;Nouvelle-Zélande;Centre;Toulouse;Pro;NON JIFF
WEST;Ihaia;28;175;85;Nouvelle-Zélande;Ouverture;La Rochelle;Pro;NON JIFF
NGATAI;Charlie;29;188;103;Nouvelle-Zélande;Centre;Lyon;Pro;NON JIFF
TAMANIVALU;Seta;27;189;110;Fidji;Centre;Bordeaux;Pro;NON JIFF
VINCENT;Thomas;20;185;81;France;Ouverture;Agen;Espoir;JIFF
JOSEPH;Jordan;19;190;124;France;3ème ligne;Racing 92;Espoir;JIFF
CHAPUIS;Ryan;22;189;104;France;3ème ligne;Paris;Espoir;JIFF
ABADIE;Esteban;22;188;95;France;3ème ligne;Brive;Espoir;JIFF
LESTRADE;Yan;22;179;92;France;Centre;Bayonne;Espoir;JIFF
LUC;Aymeric;22;180;76;France;Arrière;Bayonne;Espoir;JIFF
MARTY;Maxime;21;182;83;France;Ailier;Toulouse;Espoir;JIFF
BAGET;Rémy;22;182;84;France;Ailier;Bayonne;Espoir;JIFF
GRAAFF;Johannes Petrus;30;179;77;Afrique du sud;Arrière;Bayonne;Pro;NON JIFF
TOURNEBIZE;Pierre;21;186;98;France;Ailier;Montpellier;Espoir;JIFF
LAPÈGUE;Adrien;21;181;88;France;Ailier;Paris;Espoir;JIFF
BARKA;Rayne;21;180;103;France;Talonneur;Pau;Espoir;JIFF
TIMU;Caleb;25;190;117;Nouvelle-Zélande;3ème ligne;Montpellier;Pro;NON JIFF
FOURNIER;Clément;19;190;105;France;3ème ligne;Pau;Espoir;JIFF
PAGÈS;Pierre;29;180;78;France;Mêlée;Toulouse;Pro;JIFF
LEE;Nico;25;180;89;Afrique du sud;Centre;Brive;Pro;NON JIFF
LEBEL;Matthis;20;185;91;France;Arrière;Toulouse;Espoir;JIFF
RAMETTE;Alban;21;188;91;France;Centre;Brive;Espoir;JIFF
SADIE;Carlü;22;180;124;Afrique du sud;Pilier;Paris;Pro;NON JIFF
ENGELBRECHT;JJ;30;190;94;Afrique du sud;Centre;Clermont;Pro;NON JIFF
RURU;Michael;29;182;93;Nouvelle-Zélande;Mêlée;Bayonne;Pro;NON JIFF
ARNOLD;Richie;29;208;127;Australie;2ème ligne;Toulouse;Pro;NON JIFF
KARKADZE;Vano;19;178;103;Géorgie;Talonneur;Brive;Espoir;PAS ENCORE JIFF
JAPARIDZE;Luka;21;180;125;Géorgie;Pilier;Brive;Espoir;PAS ENCORE JIFF
VISAGIE;Jaco;27;188;105;Afrique du sud;Talonneur;Toulouse;Pro;NON JIFF
DIAZ BONILLA;Joaquin;30;177;80;Argentine;Ouverture;Racing 92;Pro;NON JIFF
DARLET;Tom;23;188;104;France;3ème ligne;Bayonne;Espoir;JIFF
DIALLO;Ibrahim;22;193;109;France;3ème ligne;Racing 92;Pro;JIFF Formé
LAVAULT;Thomas;20;199;105;France;2ème ligne;La Rochelle;Espoir;JIFF
MARAVAT;Gauthier;19;197;106;France;2ème ligne;Agen;Espoir;JIFF
BERIA;Giorgi;20;175;107;France;Pilier;Clermont;Espoir;JIFF
FAVRE;Jules;20;181;88;France;Ailier;La Rochelle;Espoir;JIFF
GOGICHASHVILI;Guram;21;183;118;Géorgie;Pilier;Racing 92;Espoir;PAS ENCORE JIFF
AINU'U;David;20;178;123;Etats-Unis;Pilier;Toulouse;Espoir;PAS ENCORE JIFF
BOUDEHENT;Paul;20;193;97;France;3ème ligne;La Rochelle;Espoir;JIFF
SAUZARET;Paul;22;184;107;France;Talonneur;Castres;Espoir;JIFF
DOGE;Mesake;26;178;122;Fidji;Pilier;Brive;Pro;NON JIFF
BERJON;Thomas;21;177;87;France;Mêlée;La Rochelle;Espoir;JIFF
COTTIN;Yoan;22;0;0;France;Mêlée;Toulon;Espoir;JIFF
SEILLÉ;Valentin;20;182;108;France;Talonneur;Montpellier;Espoir;JIFF
JOHNSON;Ewan;20;203;120;Ecosse;2ème ligne;Racing 92;Espoir;JIFF
TREILLES;Leo;20;187;88;France;Centre;Clermont;Espoir;JIFF
JURAND;Joris;24;188;106;France;Arrière;Brive;Pro;JIFF
PINTO;Vincent;20;187;93;France;Ailier;Pau;Espoir;JIFF
DEVAUX;Bruce;23;183;108;France;Pilier;Toulon;Pro;JIFF Formé
LATUNIPULU;Latu;22;0;0;Australie;Ailier;Bayonne;Pro;NON JIFF
MEAFOU;Emmanuel;21;203;145;Australie;2ème ligne;Toulouse;Espoir;PAS ENCORE JIFF
ZARANTONELLO;Loris;19;183;102;France;Talonneur;Agen;Espoir;JIFF
FUTEU;Thierry;24;186;114;Cameroun;Pilier;Paris;Pro;NON JIFF
LEROUX;Rémi;21;195;113;France;2ème ligne;La Rochelle;Espoir;JIFF
VILLIÈRE;Gabin;24;180;87;France;Ailier;Toulon;Pro;JIFF
ORY;Julien;23;0;0;France;3ème ligne;Toulon;Pro;JIFF Formé
DAKUWAQA;Masivesi;26;190;105;Fidji;Ailier;Toulon;Pro;NON JIFF
LANEN;Clément;21;196;103;France;3ème ligne;Clermont;Espoir;JIFF
LANEN;Thibault;21;196;106;France;2ème ligne;Clermont;Espoir;JIFF
PALMIER;Marc;20;0;0;France;Ouverture;Clermont;Espoir;JIFF
